ID,Nombre,Categoría/Modelo,Marca,Género,Precio,Moneda,Precio Formateado,Descripción,Cantidad Disponible,Estado,SKU,Enlace de Compra (WhatsApp),Fotos Locales,Fotos Originales,Fecha de Creación,Fecha de Actualización
81101293-9189-4b3c-9785-79cecedece19,Adidas 2000,Nuevos Ingresos,Adidas,Unisex,2550,UYU,$ 2.550 UYU,Sin descripción,1,Nuevo,RR0002,https://wa.me/+59891722213?text=Hola%2C+estoy+interesado+en+este+producto%3A+Adidas+2000+https%3A%2F%2Fgenuinosuy.rdi.store%2Fprodutos%2F81101293-9189-4b3c-9785-79cecedece19,Adidas_2000_1.jpg; Adidas_2000_2.jpg; Adidas_2000_3.jpg; Adidas_2000_4.jpg; Adidas_2000_5.jpg,https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_4221b12e-4041-4ed9-8ce7-481b3503815d.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_934aa2e8-36ab-4abb-af21-b4ebd7dc6def.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_e43dabe6-ca76-40ff-b5f1-b9cea76bb034.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_044710e5-93b4-42c8-baa9-5fc7e76b53a3.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_833de091-9538-4882-abe3-6c65f49e380b.jpg,2025-10-17T02:36:51.225Z,2025-10-24T15:52:27.227Z
2f3f575a-3bb7-4553-a2b2-dc4384b3d118,Adidas Campus,Campus,Adidas,Unisex,2990,UYU,$ 2.990 UYU,Sin descripción,1,Nuevo,RR0001,https://wa.me/+59891722213?text=Hola%2C+estoy+interesado+en+este+producto%3A+Adidas+Campus+https%3A%2F%2Fgenuinosuy.rdi.store%2Fprodutos%2F2f3f575a-3bb7-4553-a2b2-dc4384b3d118,Adidas_Campus_1.jpg; Adidas_Campus_2.jpg; Adidas_Campus_3.jpg; Adidas_Campus_4.jpg; Adidas_Campus_5.jpg; Adidas_Campus_6.jpg; Adidas_Campus_7.jpg; Adidas_Campus_8.jpg,https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_164ecf66-7ca1-40d1-9753-62cbaa0bc8e7.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_f0170d8c-7f6c-4414-91d2-8f02e8885c4a.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_50f425a9-c709-4bf6-82ee-1fbfc4228091.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_2c816525-46cf-4435-9a9a-47781084da68.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_7505b80c-5a5a-417a-851f-98d2031edfca.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_75d50b5d-d238-452a-978a-24c8bb53097e.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_26610f57-b58b-474f-b8a3-feea355d87c2.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_72a1a98d-c635-483e-8f18-685ebdd0f141.jpg,2025-10-17T02:12:25.903Z,2025-10-17T15:09:01.905Z
d4c1241c-54da-4efb-82ec-e1290b8279c5,Adidas Campus X Bad Bunny,Campus X Bad Búnny,Adidas,Unisex,2690,UYU,$ 2.690 UYU,Sin descripción,1,Nuevo,RR0029,https://wa.me/+59891722213?text=Hola%2C+estoy+interesado+en+este+producto%3A+Adidas+Campus+X+Bad+Bunny+https%3A%2F%2Fgenuinosuy.rdi.store%2Fprodutos%2Fd4c1241c-54da-4efb-82ec-e1290b8279c5,Adidas_Campus_X_Bad_Bunny_1.jpg; Adidas_Campus_X_Bad_Bunny_2.jpg; Adidas_Campus_X_Bad_Bunny_3.jpg; Adidas_Campus_X_Bad_Bunny_4.jpg; Adidas_Campus_X_Bad_Bunny_5.jpg; Adidas_Campus_X_Bad_Bunny_6.jpg; Adidas_Campus_X_Bad_Bunny_7.jpg,https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_f8b886c9-6213-4450-92d6-32ccd47ddc3c.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_f8f06cc1-a80c-450c-9349-998166e2e716.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_865160ae-1264-4a2b-9892-f8f7c3a6aefd.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_00305c1d-7ba7-4ca4-8299-3729b80c5f45.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_5035a4fb-85d5-44b8-b141-e807673226c5.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_18c69d4b-6ade-462c-b465-a9d3595943d3.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_8a0a70ba-8ecb-4c36-9810-f0ca5052272a.jpg,2025-10-17T04:14:59.920Z,2026-06-12T01:44:05.866Z
e7fa1beb-d445-497c-a039-cd8f6a352b22,Adidas Forum,Forum,Adidas,Unisex,2550,UYU,$ 2.550 UYU,Sin descripción,1,Nuevo,RR0016,https://wa.me/+59891722213?text=Hola%2C+estoy+interesado+en+este+producto%3A+Adidas+Forum+https%3A%2F%2Fgenuinosuy.rdi.store%2Fprodutos%2Fe7fa1beb-d445-497c-a039-cd8f6a352b22,Adidas_Forum_1.jpg; Adidas_Forum_2.jpg; Adidas_Forum_3.jpg; Adidas_Forum_4.jpg; Adidas_Forum_5.jpg,https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_09dc5ee8-9ee0-4090-bd2f-c7ab099910bd.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_0de9ea88-d53e-4af5-b528-31c30929143e.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_0b7fd7ab-b07a-4a96-819b-aa0f2bba9fcb.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_8587ff17-75ba-449a-8e6a-ede4308bacb7.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_4f75423e-d619-41b2-8085-ac531f0f9cfe.jpg,2025-10-17T03:36:40.021Z,2026-06-12T01:38:39.526Z
11b21b2c-2057-4266-8c5d-0267111dba05,Adidas Forum,Forum,Adidas,Unisex,2690,UYU,$ 2.690 UYU,Sin descripción,1,Nuevo,RR0003,https://wa.me/+59891722213?text=Hola%2C+estoy+interesado+en+este+producto%3A+Adidas+Forum+https%3A%2F%2Fgenuinosuy.rdi.store%2Fprodutos%2F11b21b2c-2057-4266-8c5d-0267111dba05,Adidas_Forum_1.jpg; Adidas_Forum_2.jpg; Adidas_Forum_3.jpg; Adidas_Forum_4.jpg,https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_389b6a93-8d7e-4964-939f-115f4531758c.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_971ee521-10f8-4dea-9708-52aaa65681bd.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_76f0abc6-9168-4a07-b38c-c5471fb2b082.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_7aa67745-f036-4e1c-aa21-571886e5aab9.jpg,2025-10-17T02:41:02.678Z,2025-10-17T03:15:31.004Z
98297aa9-7373-4dc0-a7ed-352dcb981800,Adidas Gazelle,Gazelle,Adidas,Unisex,2550,UYU,$ 2.550 UYU,Sin descripción,1,Nuevo,RR0033,https://wa.me/+59891722213?text=Hola%2C+estoy+interesado+en+este+producto%3A+Adidas+Gazelle+https%3A%2F%2Fgenuinosuy.rdi.store%2Fprodutos%2F98297aa9-7373-4dc0-a7ed-352dcb981800,Adidas_Gazelle_1.jpg; Adidas_Gazelle_2.jpg; Adidas_Gazelle_3.jpg; Adidas_Gazelle_4.jpg,https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_9c037ecf-fcd8-4e32-b7c0-b97b6196ae21.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_d39c04f3-1f1f-459c-bf23-8a2199f76e93.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_2409ad82-dd62-4721-83ca-7f8e014369f0.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_374d0480-2819-41b0-b6a6-ef23392f6cef.jpg,2025-10-17T15:09:57.413Z,2025-10-17T15:10:06.694Z
441e4fb8-7bb1-4162-acd8-0d3a0b486ce2,Adidas Samba,Samba,Adidas,Unisex,2290,UYU,$ 2.290 UYU,Sin descripción,0,Nuevo,RR0022,https://wa.me/+59891722213?text=Hola%2C+estoy+interesado+en+este+producto%3A+Adidas+Samba+https%3A%2F%2Fgenuinosuy.rdi.store%2Fprodutos%2F441e4fb8-7bb1-4162-acd8-0d3a0b486ce2,Adidas_Samba_1.jpg; Adidas_Samba_2.jpg; Adidas_Samba_3.jpg; Adidas_Samba_4.jpg; Adidas_Samba_5.jpg; Adidas_Samba_6.jpg; Adidas_Samba_7.jpg; Adidas_Samba_8.jpg,https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_cb78d212-8023-413c-9e81-9e43b75b89fd.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_2b64805c-0f3c-488c-9abe-e8a3e8e2fedf.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_755bc078-eed3-4677-a699-86577493144f.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_4aa5afbf-d4cf-442f-a288-aca957ed684f.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_856cbadd-dafb-4615-a04c-03c13d3dff4b.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_6ee4ee62-2811-4c52-bca7-c711abd68f47.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_ec215a98-3133-46db-93a1-4f1010c0b8ea.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_7198f49b-596a-4dbe-abfb-abd3dd8a4fa6.jpg,2025-10-17T04:00:16.285Z,2026-06-12T01:47:08.620Z
c4adca5e-d2f7-43ec-8a14-c3aaecb59d62,Adidas Spezial,Adidas,Adidas,Unisex,2690,UYU,$ 2.690 UYU,Sin descripción,1,Nuevo,RR0043,https://wa.me/+59891722213?text=Hola%2C+estoy+interesado+en+este+producto%3A+Adidas+Spezial+https%3A%2F%2Fgenuinosuy.rdi.store%2Fprodutos%2Fc4adca5e-d2f7-43ec-8a14-c3aaecb59d62,Adidas_Spezial_1.jpg; Adidas_Spezial_2.jpg; Adidas_Spezial_3.jpg; Adidas_Spezial_4.jpg; Adidas_Spezial_5.jpg; Adidas_Spezial_6.jpg,https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_e4574beb-7c3c-42a7-b2a7-ace5b96473a4.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_22138a6f-b07f-4d38-97bb-96d2fdc63605.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_50a0c9ff-7e6e-4d4d-aa5d-540f3149e829.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_ff22f585-7ccb-4ed0-afdb-27216a11dad3.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_85fec2a7-3be5-41f5-910f-4b1e7ad3f127.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_26975548-ec7f-4cff-8205-563e398ebf36.jpg,2026-06-12T01:51:33.734Z,2026-06-12T01:57:18.242Z
813824eb-b192-4478-9051-c12b52b9effc,CALZADO KIDS,Calzado Kids,Calzado Kids,Infantil / Kids,1400,UYU,$ 1.400 UYU,Sin descripción,1,Nuevo,RR0040,https://wa.me/+59891722213?text=Hola%2C+estoy+interesado+en+este+producto%3A+CALZADO+KIDS+https%3A%2F%2Fgenuinosuy.rdi.store%2Fprodutos%2F813824eb-b192-4478-9051-c12b52b9effc,CALZADO_KIDS_1.jpg; CALZADO_KIDS_2.jpg; CALZADO_KIDS_3.jpg; CALZADO_KIDS_4.jpg; CALZADO_KIDS_5.jpg; CALZADO_KIDS_6.jpg; CALZADO_KIDS_7.jpg,https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_798a0e70-fa51-4b7e-8278-741fb3ebd94c.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_15c11f86-f3c8-44db-a787-07e18a48fe4e.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_d4151c56-ad8f-4cae-b2f2-6e8bd0030124.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_e14c7be7-2a6a-4953-ba97-3bfa8bfd00b5.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_74114a15-8acd-4ea9-a5b8-765376eb7980.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_fd23ded6-3b1c-46a1-951e-330f71e27ec1.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_5833da1e-287e-4ae4-8398-72c4819ce075.jpg,2025-10-24T15:43:21.606Z,2025-10-24T15:43:48.669Z
6eccc4ea-5e0f-4841-8771-e8c36db2e638,Converse All Star,All star,Converse,Unisex,2590,UYU,$ 2.590 UYU,Sin descripción,1,Nuevo,RR0035,https://wa.me/+59891722213?text=Hola%2C+estoy+interesado+en+este+producto%3A+Converse+All+Star+https%3A%2F%2Fgenuinosuy.rdi.store%2Fprodutos%2F6eccc4ea-5e0f-4841-8771-e8c36db2e638,Converse_All_Star_1.jpg; Converse_All_Star_2.jpg; Converse_All_Star_3.jpg; Converse_All_Star_4.jpg; Converse_All_Star_5.jpg; Converse_All_Star_6.jpg; Converse_All_Star_7.jpg; Converse_All_Star_8.jpg,https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_61a7c5b8-1775-48a4-9620-1facca75205f.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_380a97e3-9b78-4b89-999b-04e648b2d39d.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_fe29c9c3-e64e-40a1-bbef-69b9e435271d.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_77caeea1-4690-42b2-8cf4-c7bf3453672c.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_94d97b32-646e-4209-a963-dc4a652bf490.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_5c25ad90-f827-4ba5-bddd-b5f2409deb51.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_a8cd4112-8860-4e8b-9110-dc5a5398d34d.jpg; https://assets.rediredi.com/items/images/c413934f-abb7-4d2f-b3c5-0366a2b750d6_3d0ef19d-e797-4ac3-a304-43350f9c7bae.jpg,2025-10-17T15:13:08.103Z,2025-10-17T15:13:33.087Z
